,Müll,-2,rubbish,-2.1,Everything from here until liwc is added by George Paltoglou,N_lemma
191,Unsinn,-3.0,crappy,-3,,
192,bullshi*,-3.0,crappy,-3,,
193,verrück*,-1.0,craz*,-1,,
194,verrueck*,-1.0,craz*,-1,,
195,erstell*,2.0,create*,2,,
196,kreati*,2.0,creati*,2,,
197,glaubhaf*,2.0,credit*,2,,
198,glaubwürd*,2.0,credit*,2,,
199,glaubwuerd*,2.0,credit*,2,,
200,geweint,-4.0,cried,-4,,
201,geschrie*,-4.0,cried,-4,,
202,weinen,-3.0,cried?,,,V_lemma
203,schreit,-3.0,cries,-3,,
204,schreien,-3.0,cries,-3,,V_lemma
205,kritisch*,-2.0,critical,-2,,
206,Roh*,-2.0,crude*,-2,,
207,grausam*,-4.0,cruel*,-4,,
208,zerdrück*,-1.0,crushed,-1,,
209,zerdrueck*,-1.0,crushed,-1,,
210,schwärm*,-1.0,get a crush on...,,,
211,schwaerm*,-1.0,get a crush on...,,,
212,Schrei,-4.0,cry,-4,,
213,Schreien,-4.0,crying,-4,,
214,Fotze*,-4.0,cunt*,-4,,
215,Möße*,-4.0,cunt*,-4,,
216,Moesse*,-4.0,cunt*,-4,,
217,schneide*,-2.0,cut,-2,,
218,schnittt,-2.0,cut,-2,,
219,süß*,3.0,cute*,3,,
220,suess*,3.0,cute*,3,,
221,hübsch*,3.0,cute*,3,,
222,huebsch*,3.0,cute*,3,,
223,Zyniker*,-2.0,cynic*,-2,,
224,zynis*,-2.0,cynic*,-2,,
225,Schadensereignisse*,-1.0,damag*,-1,,
226,verdammt*,-2.0,damn*,-2,,
227,Gefahr*,-1.0,danger*,-1,,
228,Gefähr*,-1.0,danger*,-1,,
229,Gefaehr*,-1.0,danger*,-1,,
230,kühn*,1.0,daring,1,,
231,kuehn*,1.0,daring,1,,
232,Liebling*,3.0,darlin*,3,,
233,schwummr*,-2.0,daze*,-2,,
234,benommen*,-2.0,daze*,-2,,
235,betäub*,-2.0,daze*,-2,,
236,betaeub*,-2.0,daze*,-2,,
237,liebe*,2.0,dear*,2,,
238,Zerfall*,-1.0,decay*,-1,,
239,Niedergang,-1.0,decay*,-1,,N_lemma
240,Niederlage,-1.0,defeat*,-1,,N_lemma
241,Defekt*,-1.0,defect*,-1,,
242,abwehr*,-1.0,defenc*,-1,,
243,abgewehr*,-1.0,defenc*,-1,,
244,defensiv*,-1.0,defens*,-1,,
245,Verfall,-2.0,degrad*,-2,,N_lemma
246,verfallen,-2.0,degrad*,,,V_lemma
247,erfreulich*,3.0,delectabl*,3,,
248,köstlich*,3.0,delectabl*,3,,
249,koestlich*,3.0,delectabl*,3,,
250,zart*,2.0,delicate*,2,,
251,zärtl*,2.0,delicate*,2,,
252,zaertl*,2.0,delicate*,2,,
253,lecker*,3.0,delicious*,3,,
254,köstli*,3.0,delicious*,3,,
255,koestli*,3.0,delicious*,3,,
256,erfreu*,3.0,deligh*,3,,
257,deprimier*,-4.0,depress*,-4,,
258,depress*,-4.0,depress*,-4,,
259,depriv*,-1.0,depriv*,-1,,
260,aberkennen,-1.0,depriv*,-1,,V_lemma
261,Aberkennung,-1.0,depriv*,-1,,N_lemma
262,Verzweif*,-4.0,despair*,-4,,
263,desperat*,-3.0,desperat*,-3,,
264,veracht*,-4.0,despis*,-4,,
265,zerstör*,-3.0,destroy*,-3,,
266,zerstoer*,-3.0,destroy*,-3,,
267,verheerend*,-3.0,devastat*,-3,,
268,Teufel*,-1.0,devil*,-1,,
269,teuflisch*,-1.0,devil*,-1,,
270,devot*,3.0,devot*,3,,
271,unterwürf*,3.0,devot*,3,,
272,unterwuerf*,3.0,devot*,3,,
273,hingebungsvoll*,3.0,devot*,3,,
274,hingezoge*,3.0,devot*,3,,
275,schwierig*,-1.0,difficult*,-1,,
276,würdevo*,2.0,,,,
277,wuerdevo*,2.0,,,,
278,Nachteil*,-2.0,disadvantage*,-2,,
279,nicht_einverstanden*,-2.0,disagree*,-2,,
280,enttäusch*,-2.0,disappoint*,-2,,
281,enttaeusch*,-2.0,disappoint*,-2,,
282,Katastroph*,-1.0,disaster*,-1,,
283,Fiasko,-3.0,disaster*,-1,,
284,Unbehag*,-2.0,discomfort*,-2,,
285,Unannehmlich*,-2.0,discomfort*,-2,,
286,Beschwerd*,-2.0,discomfort*,-2,,
287,entmutig*,-2.0,discourag*,-1,,
288,abschrecke*,-2.0,discourag*,-1,,
289,demotivier*,-2.0,discourag*,-1,,
290,Ekel*,-4.0,disgust*,-4,,
291,Ernücht*,-2.0,disillusion*,-2,,
292,Ernuecht*,-2.0,disillusion*,-2,,
293,Abneig*,-3.0,dislike,-3,,
294,unbeliebt*,-3.0,disliked,-3,,
295,Abneigung*,-3.0,dislikes,-3,,
296,abgeneig*,-3.0,dislikes,-3,,
297,Bestürz*,-3.0,dismay*,-3,,
298,Bestuerz*,-3.0,dismay*,-3,,
299,unzufried*,-2.0,dissatisf*,-2,,
300,unbefried*,-2.0,dissatisf*,-2,,
301,abgelenk*,-1.0,distract*,-1,,
302,verstört*,-4.0,distraught,-4,,
303,verstoert*,-4.0,distraught,-4,,
304,Not*,-3.0,distress*,-3,,
305,Misstrau*,-2.0,distrust*,-2,,
306,stören,-1.0,disturb*,-1,,V_lemma
307,stoer*,-1.0,disturb*,-1,,
308,göttl*,2.0,divin*,2,,
309,goettl*,2.0,divin*,2,,
310,dominant*,-2.0,domina*,-2,,
311,Untergang*,-2.0,doom*,-2,,
312,todgweih*,-2.0,doom*,-2,,
313,Zweifel*,-2.0,doubt*,-2,,
314,Zweifle*,-2.0,doubt*,-2,,
315,Furcht*,-4.0,dread*,-4,,
316,fürchterl*,-4.0,dread*,-4,,
317,fuerchterl*,-4.0,dread*,-4,,
318,furchtbar*,-4.0,dread*,-4,,
319,erbärml*,-4.0,dread*,-4,,
320,erbaerml*,-4.0,dread*,-4,,
321,gräßli*,-4.0,dread*,-4,,
322,graessli*,-4.0,dread*,-4,,
323,grausam*,-4.0,dread*,-4,,
324,schuderhaft*,-4.0,dread*,-4,,
325,schrecklich*,-4.0,dread*,-4,,
326,stumpfsinn*,-2.0,dull*,-2,,
327,begriffsstutz*,-2.0,dull*,-2,,
328,dumm*,-1.0,dumb*,-1,,
329,dumpf*,-1.0,dump*,-1,,
330,Dumpfback*,-1.0,dump*,-1 // insult,,
331,einnist*,-1.0,dwell*,-1,,
332,eingenist*,-1.0,dwell*,-1,,
333,Dynami*,1.0,dynam*,1,,
334,begierig*,1.0,eager*,1,,
335,Leichtigkeit,1.0,ease*,1,,
336,leichte*,1.0,easily,1,,
337,Leichtigkeit,1.0,easiness,1,,
338,Locker*,1.0,easing,1,,
339,einfach*,1.0,easy*,1,,
340,exstase*,4.0,ecsta*,4,,
341,exstati*,4.0,ecsta*,4,,
342,effizien*,2.0,efficien*,2,,
343,egoist*,-3.0,egotis*,-3,,
344,egoism*,-3.0,egotis*,-3,,
345,elegan*,2.0,elegan*,2,,
346,Verlegen*,-2.0,embarrass*,-3,,
347,peinlich*,-3.0,embarrass*,-3,,
348,emotional*,-2.0,emotional,-2,,
349,leer,-1.0,empt*,-1,,A_lemma
350,Leere,-1.0,empt*,-1,,N_lemma
351,ermutigen,2.0,encourag*,2,,V_lemma
352,Feind*,-2.0,enemy*,-2,,
353,energ*,1.0,energ*,1,,
354,engagie*,1.0,engag*,1,,
355,verloben,1.0,engag*,1,,V_lemma
356,genießen,3.0,enjoy*,3,,V_lemma
357,geniess*,3.0,enjoy*,3,,
358,erbos*,-4.0,enrag*,-4,,
359,erzürnt*,-4.0,enrag*,-4,,
360,erzuernt*,-4.0,enrag*,-4,,
361,unterhaltsa*,2.0,entertain*,2,,
362,enthusi*,3.0,enthus*,3,,
363,neid*,-3.0,envie*,-3,,
364,neidisch,-3.0,envious,-3,,
365,Neid*,-3.0,envy*,-3,,
366,Böse*,-3.0,evil*,-3,,
367,Boese*,-3.0,evil*,-3,,
368,glänzen,2.0,excel*,2,,V_lemma
369,glaenzen*,2.0,excel*,2,,
370,aufregend*,3.0,excit*,3,,
371,erschöpf*,-2.0,exhaust*,-2,,
372,erschoepf*,-2.0,exhaust*,-2,,
373,fabelhaft*,3.0,fabulous*,3,,
374,scheitern,-2.0,fail*,-2,,V_lemma
375,gescheitert*,-2.0,fail*,-2,,
376,Fake,-2.0,fake,-2,,
377,fälschli*,-2.0,fake,-2,,
378,faelschli*,-2.0,fake,-2,,
379,fälschu*,-2.0,fake,-2,,
380,faelschu*,-2.0,fake,-2,,
381,gefälsch*,-2.0,fake,-2,,
382,gefaelsch*,-2.0,fake,-2,,
383,fantastisch*,3.0,fantastic*,3,,
384,phantastisch*,3.0,fantastic*,3,,
385,tödlich*,-3.0,fatal*,-3,,
386,toedlich*,-3.0,fatal*,-3,,
387,Müdigkeit,-3.0,fatigu*,-3,,
388,Muedigkeit,-3.0,fatigu*,-3,,
389,Schuld*,-2.0,fault*,-2,,
390,Fehler,-2.0,fault*,-2,,
391,Gefallen,2.0,favor*,2,,
392,Gefallen*,2.0,favour*,2,,
393,Angst,-4.0,fear,-4,,
394,befürcht*,-3.0,feared,-3,,
395,befuercht*,-3.0,feared,-3,,
396,Angst*,-3.0,fearful*,-3,,
397,Angst,-3.0,fearing,-3,,
398,furchtlos*,2.0,fearless*,2,,
399,Ängste,-3.0,fears,-3,,
400,Aengste,-3.0,fears,-3,,
401,festiv*,1.0,festiv*,1,,
