zaertl*	2	delicate*	2		
lecker*	3	delicious*	3		
köstli*	3	delicious*	3		
koestli*	3	delicious*	3		
erfreu*	3	deligh*	3		
deprimier*	-4	depress*	-4		
depress*	-4	depress*	-4		
depriv*	-1	depriv*	-1		
aberkennen	-1	depriv*	-1		V_lemma
Aberkennung	-1	depriv*	-1		N_lemma
Verzweif*	-4	despair*	-4		
desperat*	-3	desperat*	-3		
veracht*	-4	despis*	-4		
zerstör*	-3	destroy*	-3		
zerstoer*	-3	destroy*	-3		
verheerend*	-3	devastat*	-3		
Teufel*	-1	devil*	-1		
teuflisch*	-1	devil*	-1		
devot*	3	devot*	3		
unterwürf*	3	devot*	3		
unterwuerf*	3	devot*	3		
hingebungsvoll*	3	devot*	3		
hingezoge*	3	devot*	3		
schwierig*	-1	difficult*	-1		
würdevo*	2				
wuerdevo*	2				
Nachteil*	-2	disadvantage*	-2		
nicht_einverstanden*	-2	disagree*	-2		
enttäusch*	-2	disappoint*	-2		
enttaeusch*	-2	disappoint*	-2		
Katastroph*	-1	disaster*	-1		
Fiasko	-3	disaster*	-1		
Unbehag*	-2	discomfort*	-2		
Unannehmlich*	-2	discomfort*	-2		
Beschwerd*	-2	discomfort*	-2		
entmutig*	-2	discourag*	-1		
abschrecke*	-2	discourag*	-1		
demotivier*	-2	discourag*	-1		
Ekel*	-4	disgust*	-4		
Ernücht*	-2	disillusion*	-2		
Ernuecht*	-2	disillusion*	-2		
Abneig*	-3	dislike	-3		
unbeliebt*	-3	disliked	-3		
Abneigung*	-3	dislikes	-3		
abgeneig*	-3	dislikes	-3		
Bestürz*	-3	dismay*	-3		
Bestuerz*	-3	dismay*	-3		
unzufried*	-2	dissatisf*	-2		
unbefried*	-2	dissatisf*	-2		
abgelenk*	-1	distract*	-1		
verstört*	-4	distraught	-4		
verstoert*	-4	distraught	-4		
Not*	-3	distress*	-3		
Misstrau*	-2	distrust*	-2		
stören	-1	disturb*	-1		V_lemma
stoer*	-1	disturb*	-1		
göttl*	2	divin*	2		
goettl*	2	divin*	2		
dominant*	-2	domina*	-2		
Untergang*	-2	doom*	-2		
todgweih*	-2	doom*	-2		
Zweifel*	-2	doubt*	-2		
Zweifle*	-2	doubt*	-2		
Furcht*	-4	dread*	-4		
fürchterl*	-4	dread*	-4		
fuerchterl*	-4	dread*	-4		
furchtbar*	-4	dread*	-4		
erbärml*	-4	dread*	-4		
erbaerml*	-4	dread*	-4		
gräßli*	-4	dread*	-4		
graessli*	-4	dread*	-4		
grausam*	-4	dread*	-4		
schuderhaft*	-4	dread*	-4		
schrecklich*	-4	dread*	-4		
stumpfsinn*	-2	dull*	-2		
begriffsstutz*	-2	dull*	-2		
dumm*	-1	dumb*	-1		
dumpf*	-1	dump*	-1		
Dumpfback*	-1	dump*	-1 // insult		
einnist*	-1	dwell*	-1		
eingenist*	-1	dwell*	-1		
Dynami*	1	dynam*	1		
begierig*	1	eager*	1		
Leichtigkeit	1	ease*	1		
leichte*	1	easily	1		
Leichtigkeit	1	easiness	1		
Locker*	1	easing	1		
einfach*	1	easy*	1		
exstase*	4	ecsta*	4		
exstati*	4	ecsta*	4		
effizien*	2	efficien*	2		
egoist*	-3	egotis*	-3		
egoism*	-3	egotis*	-3		
elegan*	2	elegan*	2		
Verlegen*	-2	embarrass*	-3		
peinlich*	-3	embarrass*	-3		
emotional*	-2	emotional	-2		
leer	-1	empt*	-1		A_lemma
Leere	-1	empt*	-1		N_lemma
ermutigen	2	encourag*	2		V_lemma
Feind*	-2	enemy*	-2		
energ*	1	energ*	1		
engagie*	1	engag*	1		
verloben	1	engag*	1		V_lemma
genießen	3	enjoy*	3		V_lemma
geniess*	3	enjoy*	3		
erbos*	-4	enrag*	-4		
erzürnt*	-4	enrag*	-4		
erzuernt*	-4	enrag*	-4		
unterhaltsa*	2	entertain*	2		
enthusi*	3	enthus*	3		
neid*	-3	envie*	-3		
neidisch	-3	envious	-3		
Neid*	-3	envy*	-3		
Böse*	-3	evil*	-3		
Boese*	-3	evil*	-3		
glänzen	2	excel*	2		V_lemma
glaenzen*	2	excel*	2		
aufregend*	3	excit*	3		
erschöpf*	-2	exhaust*	-2		
erschoepf*	-2	exhaust*	-2		
fabelhaft*	3	fabulous*	3		
scheitern	-2	fail*	-2		V_lemma
gescheitert*	-2	fail*	-2		
Fake	-2	fake	-2		
fälschli*	-2	fake	-2		
faelschli*	-2	fake	-2		
fälschu*	-2	fake	-2		
faelschu*	-2	fake	-2		
gefälsch*	-2	fake	-2		
gefaelsch*	-2	fake	-2		
fantastisch*	3	fantastic*	3		
phantastisch*	3	fantastic*	3		
tödlich*	-3	fatal*	-3		
toedlich*	-3	fatal*	-3		
Müdigkeit	-3	fatigu*	-3		
Muedigkeit	-3	fatigu*	-3		
Schuld*	-2	fault*	-2		
Fehler	-2	fault*	-2		
Gefallen	2	favor*	2		
Gefallen*	2	favour*	2		
Angst	-4	fear	-4		
befürcht*	-3	feared	-3		
befuercht*	-3	feared	-3		
Angst*	-3	fearful*	-3		
Angst	-3	fearing	-3		
furchtlos*	2	fearless*	2		
Ängste	-3	fears	-3		
Aengste	-3	fears	-3		
festiv*	1	festiv*	1		
Fehde*	-2	feud*	-2		
heißläuf*	-2	fiery	-2		
heisslaeuf*	-2	fiery	-2		
jähzorn*	-3	fiery	-2		
jaehzorn*	-3	fiery	-2		
fiesta*	1	fiesta*	1		
Kampf*	-3	fight*	-3		
fein	2	fine	2		A_lemma
feine*	2	fine	2		
gefeuert	-3	fired	-3		
schmeichel*	1	flatter*	1		
flame	-3	flame	-3		
geflame*	-3	flame	-3		
einwandfrei*	2	flawless*	2		
flexibel*	1	flexib*	1		
flirt*	2	flirt*	2		
durchfallen	-3	flunk*	-3		V_lemma
durchgefall*	-3	flunk*	-3		
Feind*	-3	foe*	-3		
stolz	3	fond	3		
liebevoll*	3	fondly	3		
Vorliebe	3	fondness	3		
Narr*	-2	fool*	-2		
verbieten	-1	forbid*	-1		V_lemma
verboten*	-1	forbid*	-1		
vergeb*	2	forgave	2		
kämpft*	-3	fought	-3		
kaempft*	-3	fought	-3		
panisch*	-1	frantic*	-1		
Freak*	-2	freak*	-2		
frei*	2	free	2		
gratis	2	free	2		A_lemma
kostenlos	2	free	2		A_lemma
Freih*	2	free*	2		
befrei*	2	freed*	2		
freier	2	freer	2		
befreit*	2	frees*	2		
Freund*	2	friend*	2		
freundl*	2	friend*	2		
Schreck*	-2	fright*	-4 : deutsch: -2		
schreckhaf*	-2	fright*	-4		
schrecklich*	-2	fright*	-4		
frustrie*	-3	frustrat*	-3		
fuck	-3	fuck	-3		
fick*	-3	fuck	-3		
gefickt*	-3	fucked*	-3		
Ficker*	-3	fucker*	-3		
fuckin*	-3	fuckin*	-3		
fud	-3	fud	-3	fear uncertainty and doubt	
Rauch*	-3	fume*	-3		
rauchend*	-4	fuming	-4		
fun	2	fun	2		
Spaß	2	fun	2		N_lemma
Spass	2	fun	2		
lustig*	2	funn*	2		
wütend*	-4	furious*	-4		
wuetend*	-4	furious*	-4		
Wut	-4	fury	-4		N_lemma
schwul*	-2	gay	-2	common in US as term of abuse	
schwucht*	-2	gay	-2	common in US as term of abuse	
geek*	-1	geek*	-1		
genero*	2	genero*	2		
größzüg*	2	genero*	2		
groesszueg*	2	genero*	2		
sanft*	2	gentle	2		
sanfter*	3	gentler	3		
sanfteste*	3	gentlest	3		
sanft	2	gently	2		
giggl*	3	giggl*	3		
kicher*	3	giggl*	3		
Kichererbs*	1	giggl*	3	blocker	
Geber*	2	giver*	2		
gibt	2	giving	2		
froh*	2	glad	2		
gern	2	gladly	2		A_lemma
Glamour*	2	glamor*	2		
Glamour*	2	glamour*	2		
Düsternis*	-3	gloom*	-3		
Duesternis*	-3	gloom*	-3		
düster*	-3	gloom*			
duester*	-3	gloom*			
Glori*	2	glori*	2		
Glory	2	glory	2		
gmbo	3	gmbo	3	giggling my butt off	
gottverdammte*	-3	goddam*	-3		
gut	2	good	2	Could also be 1?	
Güte	2	goodness	2		
Guete	2	goodness	2		
großartig*	3	gorgeous*	3		
grossartig*	3	gorgeous*	3		
Klatsch*	-1	gossip*	-1		
Grace	3	grace	3		
begnadet	3	graced	3		
anmutig*	3	graceful*	3		
Grand	2	grand	2		
grandios*	2	grand	2		
dankbar*	2	gratef*	2		
Grab	-3	grave*	-3		
Grabesstimm*	-3	grave*	-3		
Friedhof	-2	grave*			
großartig*	2	great	2		
grossartig*	2	great	2		
Gier*	-3	greed*	-3		
Trauer*	-4	grief	-4		
griev*	-4	griev*	-4		
grimmig	-3	grim*	-3		
Grinsen	2	grin	2		
Brutto*	-2	gross*	-2		
Griesgram*	-2	grouch*	-2		
grantig*	-2	grouch*	-2		
grr*	-3	grr*	-3		
Schuld*	-4	guilt*	-4		
ha	2	ha	2		
haha*	3	haha*	3		
attraktiv*	2	handsom*	2		
Happi*	3	happi*	3		
Happy	3	happy	3		
belästigen*	-3	harass*	-3		
belaestigen*	-3	harass*	-3		
Schaden	-3	harm	-3		N_lemma
schaden	-3	harmed	-3		V_lemma
schädlich*	-2	harmful*	-2		
schaedlich*	-2	harmful*	-2		
schaden	-3	harming	-3		
harmlos*	2	harmless*	2		
harmonisch*	2	harmon*	2		
Harmonie	2	harmon*	2		
schadet	-3	harms	-3		
Hass	-4	hate	-4		
gehasst	-4	hated	-4		
hasserfüllt*	-4	hateful*	-4		
hasserfuellt*	-4	hateful*	-4		
Hasser*	-4	hater*	-4		
hasst	-4	hates	-4		
Hassen	-4	hating	-4		
Hass	-4	hatred	-4		
Herzschmerz*	-4	heartbreak*	-4		
Heartbroke*	-4	heartbroke*	-4		
herzlichen	2	heartfelt	2		
herzlos*	-3	heartless*	-3		
warmherzig	3	heartwarm*			
heartwarm*	3	heartwarm*	3		
himmlisch*	2	heaven*	2		
Himmel*	2	heaven*	2		
hektisch*	-2	hectic	-2	this year has been hectic	
Hektik	-2	hectic	-2	this year has been hectic	
heh*	3	heh*	3		
Hölle	-3	hell	-3		
Hoelle	-3	hell	-3		
höllisch*	-3	hellish	-3		
hoellisch*	-3	hellish	-3		
Helfer*	2	helper*	2		
hilfreich*	2	helpful*	2		
hilfsbereit*	2	helpful*	2		
Hilfe	2	helping	2		
hilflos*	-2	helpless*	-2		
hilft	2	helps	2		
Held*	3	hero*	3		
zögern	-1	hesita*	-1		V_lemma
zögerlich	-1	hesita*	-1		A_lemma
zoeger*	-1	hesita*	-1		
urkomisch*	3	hilarious	3		
hoho*	3	hoho*	3		
Heimweh*	-3	homesick*	-3		
ehrlich*	1	honest*	1		
Ehre*	1	honour*	1		
Hoffnung	2	hope	2		
hoffte	2	hoped	2		
hoffnungsvoll	2	hopeful	2		
hoffentlich	1				
Hoffnung*	2	hopefulness	2		
hoffnungslos*	-4	hopeless*	-4		
horrend*	-4	horr*	-4		
Horro*	-4	horr*	-4		
furchtbar*	-4	horr*	-4		
feindselig*	-3	hostil*	-3		
Feindseligkeit*	-3	hostil*	-3		
umarmen	3	hug 	3		
Umarmung	3	hug 	3		
hugg*	3	hugg*	3		
Umarmungen	3	hugs	3		
humiliat*	-4	humiliat*	-4		
Humor*	3	humor*	3		
Humor*	3	humour*	3		
hungr*	-2	hungr*	-2	new - hungry	
Hunger*	-2	hungr*	-2	new - hungry	
hurra*	3	hurra*	3		
verletzten	-3	hurt*	-3		V_lemma
ideal*	2	ideal*	2		
Idiot*	-2	idiot	-2  // insult		
Ignorant*	-3	ignor*	-3  // insult		
unmoralisch*	-3	immoral*	-3		
ungeduld*	-2	impatien*	-2		
unpersönlich*	-1	impersonal	-1		
unpersoenlich*	-1	impersonal	-1		
unhöflich*	-3	impolite*	-3		
unhoeflich*	-3	impolite*	-3		
wichtigtuerisch*	-2	importan*	1		
Wichtigtuer	-2	importan*	1		
wichtig*	1	importan*	1		
beeindruck*	2	impress*	2		
verbesser*	2	improve*	2		
Verbesserung	2	improving	2		
inadequa*	-2	inadequa*	-2		
Anreiz*	1	incentive*	1		
indecis*	-2	indecis*	-2		
ineffekt*	-2	ineffect*	-2		
uneffekt*	-2	ineffect*	-2		
minderwertig*	-2	inferior*	-2		
gehemmt*	-2	inhib*	-2		
Unschuldslamm*	2	innocen*	2		
Unschuldslämmer*	2	innocen*	2		
Unschuldslaemmer*	2	innocen*	2		
Unschuldslämmchen*	2	innocen*	2		
Unschuldslaemmchen*	2	innocen*	2		
unschuldig*	2	innocen*	2		
Unschuld	2	innocen*	2		
unsicher*	-2	insecur*	-2		
unehrlich*	-2	insincer*	-2		
verlogen*	-2	insincer*	-2		
korrupt*	-2	insincer*	-2		
inspirieren	3	inspir*	3		V_lemma
inspiriert*	3	inspir*	3		
Inspiration	3	inspir*	3		N_lemma
